h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,label
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0.04,0.96,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,97.761,0,2.2387,0,0,0,2.2387,0,0,0,0,97.761,0,0,0,0,0,0,0,0,0,0,97.761,0,2.2387,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
0,0,15.357,2.0751,0,77.403,0,5.1643,0,0,0,5.1643,4.211,3.4463,0,0,75.723,1.6802,2.2469,3.221,2.2322,2.0751,0,5.6785,0,0,0,77.403,0,3.4841,6.2862,1.6802,5.4679,0,0,0.057692,0.038462,0.90385,0,0,1,0,0,0,0,1,0,0,0
0,0,6.7164,0.80761,0,89.946,0,2.5303,0,0,0,2.5303,1.5871,0.86611,0,0,84.586,5.36,0.86395,2.5719,0.82733,0.80761,0,1.6934,0,0,0,89.946,0,0.71526,2.3947,1.815,3.4359,0.11364,0.22727,0.63636,0,0.022727,0,0,1,0,0,0,0,1,0,0,0
0,0,15.725,3.7672,0,74.817,0,5.6914,0,0,0,5.6914,4.2193,2.6803,0,0,72.667,2.15,3.8265,2.15,2.8484,3.7672,0,5.5287,0,0,0,74.817,0,2.15,7.9866,3.5414,5.9764,0,0,0.017857,0.035714,0.94643,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,99.448,0,0.55166,0,0,0,0.55166,0,0,0,0,99.448,0,0,0,0,0,0,0,0,0,0,99.448,0,0.55166,0,0,0,0.090909,0.54545,0.30303,0.060606,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
