h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,label
0,1.6366,0.24728,1.9319,11.418,33.381,40.965,6.279,2.7458,1.3953,0,0.24728,0,5.056,15.052,10.383,21.931,19.163,11.474,10.184,4.9865,1.5234,2.7728,3.8938,12.22,24.708,19.877,12.692,7.2348,5.1028,4.3678,0.84232,6.2885,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,11.119,36.782,44.77,6.4956,0.48381,0.34956,0,0,0,6.6134,8.5292,8.0735,35.1,18.854,11.201,7.5702,3.575,0.48381,3.6563,0.83337,10.42,33.265,16.872,18.371,6.3959,1.4322,2.2405,0,6.5148,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3.9629,3.1406,8.7054,19.17,8.1056,19.701,16.143,9.0932,5.2927,2.4378,4.2472,19.184,11.242,7.8414,3.4641,7.7819,8.1236,10.877,7.9955,9.3446,8.4867,5.6588,10.019,9.0459,8.0672,11.54,4.677,0.2217,6.0471,9.9057,13.689,13.244,13.542,0,0.97561,0.02439,0,0,0,0,0.02439,0.97561,0,0,0,0.02439,0.97561,0,0
0.48269,3.7872,0,0,1.6052,58.451,29.618,2.1084,3.9475,0,0,6.2803,0,5.413,16.959,8.9409,21.044,28.538,0.2721,5.2704,1.9718,5.3114,0,2.1084,15.262,11.879,38.076,23.352,1.8103,0,5.2806,1.2556,0.97565,0,0.15625,0.5625,0.25,0.03125,0,0,1,0,0,0,0,1,0,0,0
4.5641,4.2366,0,0,6.1939,54.947,23.023,1.2598,5.7762,0,0,17.601,0,0.93239,4.1574,5.8309,28.652,14.733,0.46452,2.472,5.6422,19.514,0,1.2598,6.3927,6.0537,26.061,25.587,5.4432,0,11.506,8.0085,9.6885,0,0,0.10417,0.6875,0.20833,0,0,1,0,0,0,0,1,0,0,0
5.5606,8.8205,0,0,4.8421,46.258,32.485,0.21737,0,1.816,0,0.25887,1.7745,10.189,2.8066,16.636,24.98,10.706,26.641,6.0077,0,0,0,3.6324,13.186,27.3,16.893,18.921,12.847,4.1065,3.113,0,0,0,0,0,0.066667,0.93333,0,0,1,0,0,0,0,1,0,0,0
1.6248,5.9878,0,0,6.9668,51.393,30.974,0.32378,2.7298,0,0,10.485,0,4.6868,12.549,12.39,21.486,21.62,1.2479,2.3381,3.2379,9.959,0,0.74183,17.563,11.78,21.008,26.878,5.4268,0.49125,7.9574,2.0428,6.1105,0,0,0.11905,0.88095,0,0,0,1,0,0,0,0,1,0,0,0
1.5602,2.2849,0.24803,0,6.8963,62.324,21.129,2.6302,2.9276,0,0,8.2791,0.93554,3.3548,5.9974,13.582,32.383,17.088,1.5457,5.2885,3.2419,8.3044,0.49607,3.785,7.2498,6.2044,26.972,32.236,6.9942,1.1789,7.1559,4.5879,3.1404,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
4.2547,0.37927,0,0,4.5318,56.59,18.578,14.35,0.88644,0,0.42973,11.436,0.24707,10.776,5.5872,11.454,18.022,15.36,0,10.598,11.622,4.8968,0,14.78,9.8851,2.6416,26.851,32.006,9.2782,0.24707,2.6582,0.62633,1.0262,0,0.040816,0,0.93878,0.020408,0,0,1,0,0,0,0,1,0,0,0
1.9631,0,0,1.8246,2.986,70.851,18.236,3.2268,0,0,0.91172,10.081,2.6875,5.7453,0.84556,14.244,26.271,20.903,1.5728,1.626,11.398,4.6245,0,6.3724,2.3812,2.3269,33.311,37.308,16.475,0,0,1.3687,0.45586,0,0.10345,0.068966,0.68966,0.13793,0,0,1,0,0,0,0,1,0,0,0
