h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,label
0,0,17.801,7.5187,11.322,62.12,0.61907,0,0.61907,0,0,2.675,4.1164,1.3465,1.4369,7.599,63.539,0.61907,2.0559,2.7879,11.149,2.675,0,1.2381,0,0.61907,0,60.774,1.3465,9.8671,10.36,15.086,0.70943,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.5225,1.1662,12.683,9.0613,19.777,45.618,3.2365,0,5.7694,0,1.1662,3.4954,4.7686,3.3791,2.8079,9.0043,42.209,4.5586,5.6182,6.047,9.262,8.8495,0.68333,4.6235,1.3667,2.5532,1.8496,41.4,4.2183,15.053,14.151,13.362,0.73997,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
7.8561,2.8984,6.3526,4.5478,1.8481,30.827,10.624,0.38657,29.524,3.4333,1.7022,4.3173,1.4531,3.0358,1.2568,5.2457,37.091,5.5693,6.8308,7.9508,4.2646,22.985,8.7751,15.483,14.491,4.9438,10.066,25.555,0.9447,3.8421,8.3179,5.442,2.1399,0.78571,0.21429,0,0,0,0,0,0.78571,0.21429,0,0,0,1,0,0,0
2.1306,4.6147,7.9304,7.0218,1.7094,38.854,13.243,0,15.95,7.7777,0.76942,5.1418,0.80367,4.6489,5.718,16.293,19.244,9.6027,5.3425,2.1992,8.5015,22.505,2.3698,16.076,10.833,13.41,16.193,19.926,0.31084,4.3163,8.6167,7.0077,0.94001,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.4786,2.5582,14.393,3.611,1.9717,22.526,27.797,0,10.9,13.619,1.1454,3.812,2.3146,3.268,1.4816,11.013,21.875,4.8376,13.646,1.6894,14.502,21.561,1.8455,14.848,19.586,10.445,9.2233,12.506,1.3111,8.6606,12.803,7.0102,1.7609,0.054545,0.94545,0,0,0,0,0,0.036364,0.96364,0,0,0,0.072727,0.92727,0,0
2.4463,3.3332,10.343,8.1519,6.8658,31.197,12.135,1.8822,13.398,6.8199,3.4279,3.8227,1.8652,2.7488,2.2652,9.4282,27.105,13.98,5.0724,1.2991,13.72,18.694,6.9751,13.933,9.1595,10.207,7.9732,20.282,1.8822,10.025,9.4738,5.8842,4.204,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
6.0184,4.2853,8.7512,4.4792,2.4506,24.564,12.544,0.42011,30.802,4.1255,1.5602,5.309,1.018,4.1632,1.0912,10.72,28.095,10.253,5.2786,2.7802,5.965,25.327,7.2416,15.493,10.391,5.3822,14.174,14.965,0.7124,9.3799,9.7532,6.9061,5.6015,0.69697,0.30303,0,0,0,0,0,0.66667,0.33333,0,0,0,0.66667,0.33333,0,0
3.8441,3.2107,7.6605,4.6876,5.0971,39.208,9.9898,0.65184,15.579,7.441,2.6306,5.2888,2.9854,4.2173,4.4025,12.243,28.028,11.737,2.5913,3.3427,7.871,17.293,4.3739,13.146,6.3308,6.7376,15.673,22.691,0.65184,7.6935,13.819,6.9786,1.9049,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1.159,1.9178,16.653,9.499,10.427,36.372,4.9882,2.6815,5.1862,4.9995,6.1169,4.9945,10.875,8.0437,1.9178,4.446,35.729,8.8319,4.6088,7.6818,7.9612,4.9097,4.6138,13.162,3.747,4.9097,4.4668,30.378,0.76377,8.6943,14.259,10.771,4.2344,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,2.0728,11.987,10.266,14.207,37.9,4.8062,8.1149,2.241,4.8754,3.5297,9.4999,7.386,4.2537,5.5727,4.33,37.391,7.6333,4.0325,8.2128,8.8042,2.8835,6.432,6.7695,4.8832,6.0324,2.3382,33.519,0,10.418,12.393,11.595,5.6195,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.91666,0.82504,7.0329,6.5489,12.145,50.344,6.0762,0.82504,5.278,5.4624,4.5457,3.2854,6.9145,0.82504,3.6291,4.0764,52.646,6.8804,2.0974,5.7458,9.4472,4.4529,4.9931,4.0189,3.6412,4.4529,3.2722,47.072,0,8.6221,13.385,8.445,2.0974,0.021053,0.97895,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0.79771,6.2151,8.2947,12.4,52.664,5.0637,4.1258,1.5954,2.5026,6.3413,3.1816,7.2685,10.368,4.2507,3.1443,48.08,9.2974,3.197,4.9451,4.9896,1.2776,5.8522,5.8971,1.2776,1.7575,0,51.719,0,11.854,8.3222,11.098,2.2218,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
5.7452,2.3864,3.688,3.7244,1.3016,57.965,9.8998,0,14.169,1.1212,0,2.3864,0,2.3864,1.1212,23.744,36.75,8.168,5.7816,0,2.4228,17.239,2.5668,7.1593,3.688,11.057,30.567,32.022,0,2.5668,2.3864,5.4198,2.5668,0.94872,0.051282,0,0,0,0,0,0.76923,0.23077,0,0,0,0.79487,0.20513,0,0
2.1656,0.48532,2.2483,1.683,2.6845,80.424,3.0071,0,7.3025,0,0,0.48532,0.92151,1.4068,2.7075,21.908,51.852,9.3437,2.5218,0,0.8415,8.0121,1.3268,2.3775,1.3268,3.3633,23.576,59.014,0,4.0344,1.4068,2.2483,1.3268,0.96154,0.038462,0,0,0,0,0,0.92308,0.076923,0,0,0,0.9359,0.064103,0,0
4.7305,0,0,0,0,84.03,6.9394,0,4.3003,0,0,0,0,0,2.0914,25.932,48.119,10.096,4.7305,0,0,9.0308,0,0,0,6.9394,35.915,52.846,0,2.0914,0,2.2089,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
