h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,label
0,0,17.876,15.626,0,62.574,3.9237,0,0,0,0,0,13.952,0,3.9237,5.5981,54.727,7.8475,13.952,0,0,0,0,0,3.9237,0,7.8475,54.727,0,0,23.98,5.5981,3.9237,0.97872,0.021277,0,0,0,0,0,0.97872,0.021277,0,0,0,0.97872,0.021277,0,0
0,0,11.126,12.252,3.5842,44.423,10.678,5.3848,5.7653,4.0616,2.7251,3.9585,6.7218,1.6382,2.9675,8.1161,30.661,9.4886,12.795,7.5477,0.61668,15.489,7.3003,4.6783,15.826,2.0187,9.7237,28.618,2.9675,6.9565,13.039,4.6057,4.2663,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,4.3463,13.034,1.6265,4.0021,32.522,13.337,5.3631,11.796,8.4722,5.5008,10.135,0.79738,1.7986,4.498,9.6888,20.779,6.3655,8.269,9.0637,0.74813,27.857,15.993,6.2817,17.629,2.2378,17.251,14.827,1.3251,4.1399,9.8671,2.2378,8.2117,0.73333,0.26667,0,0,0,0,0,0.73333,0.26667,0,0,0,0.96667,0.033333,0,0
0,5.3762,14.8,2.2296,6.8287,27.111,16.302,3.1428,10.027,12.83,1.3523,7.7705,1.0982,4.8882,5.9915,15.771,24.324,3.1806,2.957,11.929,0.33288,21.757,11.655,8.344,19.447,7.2363,9.0138,13.041,0.83769,6.3947,6.9038,8.0044,9.1217,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,3.0126,14.598,1.7694,3.0506,29.818,20.753,2.5242,11.591,12.144,0.73937,5.3369,2.3379,2.2475,4.161,10.234,15.53,8.3747,9.4973,18.481,0.85443,22.946,6.4446,11.931,26.125,6.9031,15.105,9.3632,1.0663,3.1659,8.4231,3.1955,8.2773,0.034483,0.96552,0,0,0,0,0,0.022989,0.97701,0,0,0,0.034483,0.96552,0,0
0,3.2036,9.1429,5.914,6.0764,38.175,12.198,5.1455,11.826,7.4593,0.85903,8.1797,0.63546,2.9825,2.7276,9.3877,26.028,8.4438,5.9495,10.301,1.9516,23.412,10.545,10.783,15.227,5.756,12,19.253,0.81118,2.3248,5.1635,8.971,9.1653,0,1,0,0,0,0,0,0.025,0.975,0,0,0,0.025,0.975,0,0
0,10.432,6.5164,3.3638,3.3619,30.496,10.91,4.3282,20.436,8.8525,1.3029,8.8039,1.5005,0.65441,1.5771,12.507,18.479,9.0476,12.502,6.4317,0.67614,27.82,12.022,13.976,9.2687,2.7534,18.485,10.23,1.0478,2.4238,12.539,6.0657,11.189,0.75,0.25,0,0,0,0,0,0.71875,0.28125,0,0,0,0.71875,0.28125,0,0
0,5.3711,10.626,4.8259,6.128,39.934,8.537,3.7032,10.333,9.0717,1.4699,7.0489,2.441,2.3519,6.1427,12.56,30.296,4.5753,5.8258,6.9163,1.2404,20.601,7.5879,8.7904,9.1307,3.7787,11.055,23.603,2.1891,4.1046,8.8236,12.051,8.8857,0.042105,0.95789,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,7.7946,5.4455,19.268,56.156,1.0505,1.0505,3.2158,4.5145,1.5048,4.785,1.1148,1.1148,6.3923,4.7141,50.16,6.2687,0,6.6305,1.1148,17.705,1.0439,4.395,4.7206,1.0505,2.5553,45.44,6.4139,6.2189,4.5145,9.9364,13.711,0,1,0,0,0,0,0,0.034483,0.96552,0,0,0,0.068966,0.93103,0,0
0.56965,0.56965,0,2.7565,24.639,63.164,6.1983,0,0,1.5333,0.56965,2.7378,4.4402,1.5333,2.8281,6.3251,52.831,5.2347,2.5621,10.196,3.3661,7.946,5.7555,7.2818,0,1.5985,1.1393,50.953,3.3725,9.3916,8.9455,8.0139,3.5482,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
