h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,label
0,0,17.842,6.8858,14.938,59.172,0,0.58128,0.58128,0,0,0.52704,3.6351,2.8192,1.7108,4.5095,60.916,4.1479,0.72243,8.8887,6.6862,5.4367,0,0.58128,0,0,1.1083,56.353,1.7108,10.709,7.8186,13.172,8.5465,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.0507,0.68545,10.566,9.1785,27.751,45.249,0.68545,1.0462,3.1026,0,0.68545,1.3999,7.8151,5.5654,4.4626,4.8344,43.189,2.9488,3.9381,10.782,7.6975,7.3674,0,1.7317,0,0.68545,1.7317,38.443,6.445,13.532,18.344,15.882,3.2047,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10.037,3.5799,5.4872,4.7563,2.2064,25.202,5.2879,7.4096,25.072,1.0459,9.9152,5.2176,2.0428,5.9081,4.2579,7.8378,29.681,1.1605,8.4112,6.3636,3.8985,25.221,8.533,17.517,15.489,2.0759,11.652,19.988,1.5,2.2064,7.3307,9.3821,4.3267,0.94595,0.054054,0,0,0,0,0,0.94595,0.054054,0,0,0,1,0,0,0
8.5203,4.896,3.4434,7.4149,1.241,36.351,10.068,4.1037,15.505,1.7992,6.658,5.4643,1.7992,5.4486,7.4149,16.074,22.212,4.2913,2.0315,2.3045,4.4225,28.537,1.3431,10.746,24.657,2.8202,16.55,18.918,0.68842,1.241,6.5559,14.11,2.3695,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
9.3902,3.0577,12.781,4.2566,2.3733,14.626,16.865,14.61,11.7,7.041,3.2985,3.7627,9.5096,5.1885,3.0223,12.414,13.446,1.6666,2.122,7.5685,10.314,30.985,1.8794,18.1,19.844,8.2154,11.765,9.8998,1.4152,2.3733,7.3721,14.355,4.7803,0.042254,0.95775,0,0,0,0,0,0.028169,0.97183,0,0,0,0.11268,0.88732,0,0
5.3358,4.635,9.12,7.7268,4.3132,29.78,8.6738,6.5251,15.455,1.6163,6.8186,4.134,2.3538,6.6552,4.1212,12.241,27.002,3.5171,3.4205,4.6812,9.6881,22.186,3.3677,15.36,14.833,5.1618,10.008,22.681,0.61051,7.5736,6.516,9.5168,4.371,0.022727,0.97727,0,0,0,0,0,0.022727,0.97727,0,0,0,0.022727,0.97727,0,0
8.5114,5.5215,10.421,4.0244,2.0177,21.852,10.39,4.8346,27.285,1.9745,3.1673,6.39,2.5171,11.376,3.2118,11.625,24.034,3.6309,2.8967,2.8601,10.205,21.254,6.463,12.717,12.141,7.5699,14.778,15.348,1.022,2.559,8.1701,10.979,8.2539,0.75758,0.24242,0,0,0,0,0,0.72727,0.27273,0,0,0,0.72727,0.27273,0,0
6.426,3.9152,4.598,9.7247,4.0302,36.604,8.3364,4.1695,12.721,2.1456,7.3297,6.8947,2.7276,5.7565,6.1539,11.616,32.187,4.1427,3.8852,2.6059,5.8901,18.141,3.697,10.829,11.143,4.4507,12.22,26.442,1.5388,4.9185,7.2201,13.031,4.5097,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.7392,1.8196,11.534,17.588,9.7671,34.005,4.0516,6.2631,4.7384,0.7392,8.7549,6.5506,6.6598,9.3396,4.8822,7.5665,33.074,3.8828,3.231,8.6282,4.4957,11.689,2.5334,16.395,7.5546,2.7503,3.2551,29.819,0.7392,12.695,7.4365,10.792,6.0297,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,1.3458,11.849,12.659,12.766,38.623,3.9594,5.5414,5.2087,2.8216,5.2257,7.0892,8.6572,3.9865,6.6313,4.9474,35.673,2.8468,5.4091,14.226,3.9376,6.5962,5.5613,10.349,4.4345,1.819,4.1892,32.199,1.1911,11.041,10.175,12.738,6.3033,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.56834,0.56783,7.606,11.437,9.5141,44.875,6.3511,3.1516,5.1978,0.56834,10.163,2.4594,7.4976,4.1617,6.8118,3.8507,47.916,4.4146,2.2102,8.7577,6.0551,5.8649,3.7589,8.8495,5.2958,1.5816,2.955,41.92,0.56834,14.364,7.1411,9.9455,3.6208,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0.55767,5.9461,11.751,12.968,48.348,4.4652,4.7303,2.8418,0.55767,7.834,4.2,5.1127,8.0949,4.1958,4.0385,49.54,2.5501,3.1111,9.9607,3.1078,6.0886,5.2304,8.7243,2.1769,0.55767,0,47.431,0.91681,15.132,7.0375,10.509,2.2841,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
6.3927,2.6442,4.2267,4.1894,2.3487,56.581,9.3128,0.32304,11.919,0.32304,1.7392,3.7149,0.32304,5.7962,2.9155,18.156,41.667,8.4521,0.64608,0,4.3284,14,1.8741,4.9928,9.4524,6.7203,24.034,36.43,0.32304,1.924,4.8912,6.3073,3.0504,0.69767,0.30233,0,0,0,0,0,0.51163,0.48837,0,0,0,0.53488,0.46512,0,0
1.5238,0,1.3334,5.0557,2.2173,83.616,2.1905,0,4.0631,0,0,0.77529,0,1.442,2.7298,10.129,70.568,6.5527,0,0,4.1718,3.6325,0,2.2173,2,1.5238,19.536,65.604,0,1.442,1.442,3.5051,2.7298,0.98649,0.013514,0,0,0,0,0,0.94595,0.054054,0,0,0,0.95946,0.040541,0,0
4.4785,0,0,1.5996,0,85.366,6.9561,0,1.5996,0,0,0,0,0,1.5996,16.722,63.735,11.865,0,0,1.5996,4.4785,0,0,0,6.9561,32.165,57.68,0,0,0,1.5996,1.5996,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.0046,0,0,0.58837,0,93.991,2.6333,0,1.783,0,0,1.1947,0,0,0.58837,9.3334,78.959,8.3316,0,0,0.58837,1.0046,0,0,0,2.6333,15.33,79.665,0,1.1947,0,0.58837,0.58837,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0.98371,6.1519,3.3417,86.13,2.7452,0,0.64747,0,0,1.179,1.9674,1.179,0.64747,0.93413,87.294,1.8265,0,1.9674,1.8265,1.179,0,4.3254,0,2.7452,5.7075,80.422,0,1.179,2.1627,2.8102,0.64747,0.96429,0.035714,0,0,0,0,0,0.90476,0.095238,0,0,0,0.94048,0.059524,0,0
0,0,2.7555,3.908,2.7555,90.581,0,0,0,0,0,0,2.3051,1.603,0,1.603,90.581,0,0,3.908,0,0,1.603,2.3051,0,0,4.1563,86.425,0,0,2.7555,2.7555,0,1,0,0,0,0,0,0,0.98876,0.011236,0,0,0,1,0,0,0
0,0,0,0,0,93.981,0.9745,0,5.0448,0,0,3.6691,0,0,0,5.4593,82.934,6.5619,1.3757,0,0,0,0,0,0,0.9745,10.756,83.224,0,3.6691,0,0,1.3757,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1.9557,0.97784,0,91.826,0,0,4.2625,0.97784,0,3.1091,0.97784,0,0,4.0869,84.63,3.1091,2.1313,0.97784,0,0.97784,0,1.9557,0.97784,0,6.5784,84.27,0,4.0869,0,0,2.1313,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,91.784,0,0,8.2163,0,0,7.1209,0,0,0,13.086,71.577,7.1209,1.0955,0,0,0,0,0,0,0,24.498,67.285,0,7.1209,0,0,1.0955,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,7.059,1.4601,0,65.86,4.1388,0,17.952,3.5295,0,14.127,1.4601,0,0,15.587,38.215,14.127,5.2849,3.5295,0,7.6683,0,4.9896,1.4601,6.2082,13.546,50.854,2.0694,15.587,0,0,5.2849,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,75.196,0,0,18.669,6.1359,0,9.3343,0,0,0,4.2023,62.21,8.7828,9.3343,0,0,6.1359,0,0,0,0,3.7472,71.448,0,15.47,0,0,9.3343,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,4.9691,1.4922,0,65.096,1.9847,0,17.452,9.0057,0,12.423,1.4922,0,0,7.3941,51.708,6.9866,6.5211,2.4845,0,10.99,0,3.9768,1.4922,2.977,13.543,50.062,0.99233,20.436,0,0,6.5211,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,15.371,9.7542,22.221,52.655,0,0,0,0,0,3.0507,4.8778,4.7675,4.0696,8.9003,50.509,2.1328,2.9021,6.3734,8.739,3.6773,0,0,0,0,0.771,42.506,9.3778,10.632,12.165,20.048,4.5007,0.86486,0.13514,0,0,0,0,0,0.86486,0.13514,0,0,0,0.86486,0.13514,0,0
0,0,20.78,4.3364,27.185,45.499,0,1.0999,1.0999,0,0,1.6182,4.906,7.2048,3.702,5.768,45.338,4.3168,3.8273,8.6683,9.7116,4.9392,0,1.0999,0,0,2.3816,39.752,3.3655,15.214,12.772,18.481,6.9343,0.42857,0.42857,0.14286,0,0,0,0,0.375,0.48214,0.14286,0,0,0.42857,0.57143,0,0
0,0,24.939,8.0885,11.031,55.942,0,0,0,0,0,6.6428,2.1853,5.1391,5.0407,6.7705,50.753,4.497,1.6218,5.5731,6.7564,5.02,0,0,0,0,0.46604,45.86,10.312,3.7096,15.274,21.368,3.0108,0.10938,0.29688,0.59375,0,0,0,0,0.10938,0.53125,0.35938,0,0,0.10938,0.89062,0,0
0,0,19.622,16.285,9.7547,53.177,0,0.58057,0.58057,0,0,3.7461,5.1674,5.8636,2.4564,6.6645,49.265,3.639,0.63255,6.3041,9.5442,6.7175,0,0.58057,0,0,2.8116,44.99,5.3761,9.5505,10.784,21.158,4.749,0,0.25,0.75,0,0,0,0,0,0.35417,0.64583,0,0,0,1,0,0
2.046,0.41758,13.672,11.061,11.951,58.764,0.41758,0,1.2527,0,0.41758,4.6016,3.2139,6.0338,2.7795,7.6069,52.472,3.0302,1.5856,3.759,9.2762,5.6416,0,0.41758,0,0.41758,1.6017,46.608,11.39,9.9641,8.4075,18.732,2.4619,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,15.732,16.041,2.5677,65.659,0,0,0,0,0,6.4829,2.88,7.3764,4.3042,12.245,47.96,4.4854,2.1731,1.4805,7.9585,2.6543,0,0,0,0,0,41.251,25.976,2.3988,6.1694,19.745,4.4593,0.7931,0.18966,0.017241,0,0,0,0,0.7931,0.2069,0,0,0,0.7931,0.2069,0,0
0,0,19.203,17.553,1.6201,60.814,0,0.81004,0,0,0,8.2373,0.74747,4.8563,4.387,11.853,48.654,5.8325,3.2521,0,5.8783,6.3019,0,0.81004,0,0,0,47.466,14.159,1.5575,14.207,16.467,5.334,0.2625,0.2625,0.475,0,0,0,0,0.2625,0.4125,0.325,0,0,0.2625,0.7375,0,0
0,0,13.781,12.757,2.3983,71.063,0,0,0,0,0,7.1939,2.9695,2.7486,3.2571,9.9898,56.263,4.7289,2.5122,2.3511,2.586,5.4,0,0,0,0,0,55.234,17.052,1.7939,10.753,14.213,0.95471,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,0,9.1837,15.183,4.8626,63.486,4.4028,2.8819,0,0,0,8.6147,2.2014,4.6671,0.96692,9.0967,51.323,9.1022,3.7565,0,4.7922,5.4793,0,4.1954,1.7758,2.2014,0,49.378,16.089,1.994,9.521,10.533,4.3128,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4.0105,6.0453,13.198,5.8992,19.157,35.405,5.3614,3.6582,2.733,0.4378,4.0938,5.6327,2.2761,13.131,1.363,24.368,23.537,2.4748,4.2035,4.3443,5.3937,13.276,6.4853,9.2922,3.4474,8.5202,12.533,18.332,2.644,11.501,8.7829,9.4423,9.0206,0.91781,0.082192,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.51876,2.18,11.245,7.8097,31.235,33.708,3.0489,5.7328,2.6845,0,1.8377,8.6833,3.0787,8.8853,4.8832,19.222,23.695,3.6884,7.2753,4.8643,8.1064,7.618,4.9861,5.6164,4.5766,4.1058,9.6199,17.337,4.0605,10.433,14.168,13.423,11.673,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0.79124,10.318,14.426,22.284,36.998,5.1891,3.6603,4.1352,0.41213,1.7866,7.6244,6.2071,7.1094,7.8345,15.399,21.31,3.1349,5.9372,10.308,7.8834,7.2516,7.5093,3.68,5.0293,2.9751,8.3752,15.998,3.756,12.19,8.0269,20.123,12.336,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,1.8661,10.205,3.8414,38.872,38.677,1.442,3.0646,2.0315,0,0,8.6905,2.6542,9.088,3.2512,19.477,28.996,2.552,7.5864,4.4947,10.261,2.949,7.4357,2.8395,1.4897,3.0087,5.1039,23.805,7.0632,10.013,15.957,14.447,8.8377,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
