h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,label
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33.333,33.333,33.333,0,0,0,0,0,0,0,0,33.333,66.667,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,19.543,35.002,45.455,0,0,0,0,0,0,0,0,35.002,32.499,32.499,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,47.97,4.0593,47.97,0,0,0,0,0,0,0,0,4.0593,52.03,43.911,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,5.7662,5.7662,88.468,0,0,0,0,0,0,0,0,5.7662,52.883,41.351,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,17.062,53.673,29.265,0,0,0,0,0,0,0,29.265,24.407,0,46.327,0,0,0,0,0,0,29.265,17.062,24.407,12.204,0,17.062,0,0,0,0,0,0,19.186,80.814,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,84.935,15.065,0,0,0,0,0,0,0,6.7311,9.9349,50,33.334,0,0,0,0,0,0,21.796,6.7311,18.269,53.204,0,0,0,0,0,31.624,5.1282,10.256,29.915,23.077,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,12.381,70.887,16.732,0,0,0,0,0,0,0,12.381,15.104,43.739,28.776,0,0,0,0,0,0,16.732,0,10.752,60.134,0,12.381,0,0,0,39.85,4.5113,13.534,22.556,19.549,0,0,100,0,0,0,0,100,0,0,0
0,0,0,8.0929,21.878,44.173,25.857,0,0,0,0,0,0,0,29.971,3.9789,20.029,37.928,8.0929,0,0,0,0,0,25.857,8.0929,8.0929,27.987,0,21.878,0,8.0929,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,21.836,5.7739,0,72.39,0,0,0,0,0,0,0,21.836,27.61,21.836,14.157,3.0883,5.9372,0,0,5.5345,24.685,0,5.3713,3.0883,8.6228,33.308,0,0,21.836,3.0883,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,5.3718,10.744,8.0613,63.686,12.138,0,0,0,0,0,0,5.3718,8.0613,4.0766,34.632,24.276,12.839,0,0,10.744,12.839,0,17.51,8.0613,7.4674,40.689,0,8.0613,0,5.3718,0,47.541,4.0984,7.377,22.131,18.852,0,0,100,0,0,0,0,100,0,0,0
0,0,0,3.3225,3.2302,85.752,7.695,0,0,0,0,0,0,0,11.017,13.679,53.132,14.248,7.9234,0,0,0,4.601,0,7.695,6.5526,21.603,52.996,0,3.2302,0,3.3225,0,94.068,0,1.6949,0,4.2373,0,0,100,0,0,0,0,100,0,0,0
