h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,label
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33.333,33.333,33.333,0,0,0,0,0,0,0,0,33.333,66.667,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,18.45,36.259,45.292,0,0,0,0,0,0,0,0,36.259,31.871,31.871,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,48.218,3.5647,48.218,0,0,0,0,0,0,0,0,3.5647,51.782,44.653,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,4.7114,4.7114,90.577,0,0,0,0,0,0,0,0,4.7114,52.356,42.933,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,16.976,57.316,25.708,0,0,0,0,0,0,2.5709,3.9967,6.9427,58.586,10.564,17.339,0,0,0,0,6.1611,22.118,2.1958,22.481,23.907,20.941,2.1958,0,0,0,0,0,0,25.51,74.49,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,0,81.322,18.678,0,0,0,0,0,0,0,7.6493,22.347,33.665,36.338,0,0,0,0,0,9.3737,9.3043,5.9249,17.66,45.401,12.336,0,0,0,0,31.624,5.1282,10.256,29.915,23.077,0,0,100,0,0,0,0,100,0,0,0
0,0,0,0,12.998,70.454,16.548,0,0,0,0,0,0,4.4562,4.4562,12.82,47.438,17.831,12.998,0,0,0,0,8.9124,12.092,0,13.356,52.642,8.5418,4.4562,0,0,0,39.85,4.5113,13.534,22.556,19.549,0,0,100,0,0,0,0,100,0,0,0
0,0,0,4.0295,19.185,51.095,25.69,0,0,0,0,0,0,3.9147,7.9442,2.4764,45.524,16.926,23.214,0,0,0,0,7.8294,17.746,8.059,15.385,27.767,15.27,3.9147,0,4.0295,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
0,3.026,18.376,1.9975,10.542,36.316,29.743,0,0,0,0,0,18.376,0,1.9975,15.104,23.153,31.74,5.0685,0,0,4.5615,12.078,3.026,18.376,17.926,3.533,24.688,10.542,0,7.8339,1.9975,0,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
